sample	purity	ploidy	n.segs	substitution_rate	QC
P-0000584-T03-IM6_P-0000584-N01	0.812638227514205	3.34360389511677	84	100%	FALSE
P-0003195-T02-IM6_P-0003195-N01	0.742492811273898	2.7341823230521	99	100%	TRUE
P-0004835-T02-IM6_P-0004835-N01	0.859269586434027	2.55949942548516	88	100%	TRUE
P-0009444-T02-IM6_P-0009444-N01	0.329261000962638	1.98766153884967	33	100%	TRUE
P-0010326-T02-IM6_P-0010326-N01	0.414507562168806	2.83956523292758	61	100%	TRUE
P-0010458-T03-IM6_P-0010458-N01	0.246541335814987	1.94219296501841	30	100%	TRUE
P-0012081-T02-IM6_P-0012081-N01	0.074530258158072	2.74630458165699	26	100%	FALSE
P-0012750-T02-IM6_P-0012750-N01	0.222329136544303	2.02044616518021	25	100%	TRUE
P-0013182-T02-IM6_P-0013182-N01	0.2317963568323	3.10961726493101	45	100%	FALSE
P-0014129-T02-IM6_P-0014129-N01	NA	2	25	100%	FALSE
P-0014628-T01-IM6_P-0014628-N01	NA	2	30	100%	FALSE
P-0014696-T02-IM6_P-0014696-N02	0.632978443561745	3.25029714265597	52	100%	TRUE
P-0014913-T01-IM6_P-0014913-N01	0.649991724408193	3.43989259607886	74	100%	FALSE
P-0014995-T01-IM6_P-0014995-N01	0.273220221611229	1.88909410515856	37	100%	TRUE
P-0015475-T01-IM6_P-0015475-N01	0.374708196808849	2.01036832375519	27	100%	TRUE
P-0015475-T01-IM6_P-0015475-N02	0.39001632264147	2.01026128555438	27	100%	TRUE
P-0015476-T01-IM6_P-0015476-N01	0.307555039706482	3.43174743135915	57	100%	TRUE
P-0015828-T01-IM6_P-0015828-N01	0.62030676962638	2.00974123372523	64	100%	TRUE
P-0015852-T01-IM6_P-0015852-N01	0.586897827040322	3.31063034844091	43	100%	FALSE
P-0015852-T02-IM6_P-0015852-N01	0.32021282731218	2.87799201463037	36	100%	FALSE
P-0015865-T01-IM6_P-0015865-N01	0.310784226468731	1.98826229352576	33	100%	TRUE
P-0015865-T02-IM6_P-0015865-N01	0.485340427357449	2.0041518583701	25	100%	TRUE
P-0016151-T01-IM6_P-0016151-N01	0.322626700598634	2.54433036514989	70	100%	TRUE
P-0016151-T02-IM6_P-0016151-N01	0.288705676288817	2.61308758498286	46	100%	FALSE
P-0016484-T01-IM6_P-0016484-N01	NA	2	30	100%	FALSE
P-0016484-T03-IM6_P-0016484-N01	NA	2	29	100%	FALSE
P-0016638-T01-IM6_P-0016638-N01	0.780422681078697	2.00658399599983	30	100%	TRUE
P-0016732-T02-IM6_P-0016732-N01	0.761855960518535	2.4760183406455	54	100%	TRUE
P-0017112-T02-IM6_P-0017112-N01	0.720482324857524	2.46908646465853	66	100%	TRUE
