sample	cval	segs	waterfall	median_seg_length	algorithm
P-0000131-T02-IM6	25	175	0.228449090191678	9827257	facets
P-0000131-T02-IM6	50	104	0.228449090191678	15282945	facets
P-0000131-T02-IM6	75	90	0.228449090191678	20725178.5	facets
P-0000131-T02-IM6	100	79	0.228449090191678	21375461	facets
P-0000131-T02-IM6	150	69	0.228449090191678	22222102	facets
P-0000131-T02-IM6	200	60	0.228449090191678	34633426	facets
P-0000131-T02-IM6	25	161	0.209015972743131	10284417	dryclean
P-0000131-T02-IM6	50	94	0.209015972743131	19990512	dryclean
P-0000131-T02-IM6	75	73	0.209015972743131	22547739	dryclean
P-0000131-T02-IM6	100	66	0.209015972743131	23453711.5	dryclean
P-0000131-T02-IM6	150	53	0.209015972743131	34651256	dryclean
P-0000131-T02-IM6	200	46	0.209015972743131	44551838	dryclean
P-0001396-T04-IM6	25	138	0.29223706426654	10613867	facets
P-0001396-T04-IM6	50	81	0.29223706426654	19289867	facets
P-0001396-T04-IM6	75	66	0.29223706426654	29461967	facets
P-0001396-T04-IM6	100	63	0.29223706426654	30215996	facets
P-0001396-T04-IM6	150	49	0.29223706426654	53524350	facets
P-0001396-T04-IM6	200	46	0.29223706426654	56701759	facets
P-0001396-T04-IM6	25	115	0.203424653667326	14256372	dryclean
P-0001396-T04-IM6	50	72	0.203424653667326	23656670	dryclean
P-0001396-T04-IM6	75	62	0.203424653667326	34331108.5	dryclean
P-0001396-T04-IM6	100	51	0.203424653667326	39838109	dryclean
P-0001396-T04-IM6	150	45	0.203424653667326	62576786	dryclean
P-0001396-T04-IM6	200	43	0.203424653667326	62576786	dryclean
P-0001939-T03-IM6	25	130	0.424347429332431	9636247.5	facets
P-0001939-T03-IM6	50	44	0.424347429332431	53870937.5	facets
P-0001939-T03-IM6	75	34	0.424347429332431	77421607.5	facets
P-0001939-T03-IM6	100	28	0.424347429332431	92744106.5	facets
P-0001939-T03-IM6	150	28	0.424347429332431	92744106.5	facets
P-0001939-T03-IM6	200	28	0.424347429332431	92744106.5	facets
P-0001939-T03-IM6	25	113	0.231181103895183	12685140	dryclean
P-0001939-T03-IM6	50	39	0.231181103895183	62589282	dryclean
P-0001939-T03-IM6	75	37	0.231181103895183	68744574	dryclean
