Type	Chromosome	Start	End	-log10(q-value)	G-score	average amplitude	frequency
Amp	 1	2488138	4955862	-0.000000	0.000000	0.357242	0.015625
Amp	 1	7434544	8085061	-0.000000	0.022905	0.501793	0.031250
Amp	 1	9770584	28607270	-0.000000	0.000000	0.000000	0.000000
Amp	 1	30535114	30794960	-0.000000	0.047694	1.271835	0.015625
Amp	 1	35013586	35013586	-0.000000	0.061807	0.815519	0.031250
Amp	 1	35468429	36945066	0.015329	0.075117	0.672408	0.046875
Amp	 1	39305301	40366863	0.087512	0.083944	0.619580	0.062500
Amp	 1	40367520	45805909	-0.000000	0.036249	0.402161	0.046875
Amp	 1	46509444	46598394	-0.000000	0.022939	0.410149	0.031250
Amp	 1	46642022	46743849	-0.000000	0.064252	0.935897	0.031250
Amp	 1	51434461	53811942	-0.000000	0.030399	0.355167	0.046875
Amp	 1	59245461	59564373	-0.000000	0.030193	0.371046	0.046875
Amp	 1	65300293	66372906	-0.000000	0.011871	0.319437	0.031250
Amp	 1	70742063	75413622	-0.000000	0.046487	0.506645	0.046875
Amp	 1	78414455	99589424	-0.000000	0.034616	0.558747	0.031250
Amp	 1	99780284	109490457	-0.000000	0.000000	0.236434	0.015625
Amp	 1	113234456	116333734	-0.000000	0.021446	0.420100	0.031250
Amp	 1	117273534	117273534	-0.000000	0.000000	0.236434	0.015625
Amp	 1	117690342	118170061	-0.000000	0.041705	1.072734	0.031250
Amp	 1	118223984	118346219	-0.000000	0.000000	0.541983	0.031250
Amp	 1	120199189	120512251	-0.000000	0.036858	0.745767	0.062500
Amp	 1	120529644	120529644	-0.000000	0.061523	0.661394	0.093750
Amp	 1	120539788	120539788	0.001630	0.072121	0.571568	0.140625
Amp	 1	120548082	120548082	0.240014	0.132247	0.711151	0.265625
Amp	 1	120572570	120611984	0.384482	0.151378	0.746087	0.328125
Amp	 1	147282446	149785031	0.572709	0.170569	0.728711	0.484375
Amp	 1	149812524	150550844	0.869023	0.208961	0.744008	0.500000
Amp	 1	150551663	150551663	0.660010	0.184297	0.746743	0.484375
Amp	 1	150552561	150552561	0.280526	0.141239	0.711392	0.484375
Amp	 1	152330945	155880673	0.188655	0.101989	0.684935	0.500000
Amp	 1	156785626	158507184	0.087512	0.082799	0.681647	0.500000
Amp	 1	161284206	161332171	0.188655	0.107570	0.685517	0.531250
Amp	 1	162688895	163325192	0.732191	0.196756	0.733140	0.546875
Amp	 1	165044038	165044038	0.087512	0.082799	0.683426	0.515625
Amp	 1	169022903	172415451	-0.000000	0.023531	0.650253	0.500000
Amp	 1	175869554	175869554	-0.000000	0.043518	0.652773	0.515625
Amp	 1	175914298	180810233	-0.000000	0.062644	0.649595	0.531250
Amp	 1	182696117	184327256	-0.000000	0.042657	0.634632	0.531250
Amp	 1	185520600	190734051	-0.000000	0.067915	0.671590	0.515625
Amp	 1	193091396	201984394	0.217205	0.131458	0.706433	0.531250
Amp	 1	202188641	202188641	0.156691	0.092781	0.709977	0.562500
Amp	 1	204494686	204518526	1.050025	0.239049	0.792972	0.578125
Amp	 1	206646614	206945698	0.924481	0.213489	0.774831	0.578125
Amp	 1	209632563	209632563	0.039951	0.078642	0.694775	0.562500
Amp	 1	214977365	219421928	-0.000000	0.046885	0.672322	0.562500
Amp	 1	219991341	226064745	-0.000000	0.065040	0.667795	0.578125
Amp	 1	226252117	226595571	0.087512	0.085754	0.682044	0.578125
Amp	 1	227596280	228623061	-0.000000	0.064241	0.684172	0.562500
Amp	 1	230355438	246670438	-0.000000	0.046087	0.693072	0.546875
Amp	 2	4717089	16087561	0.188655	0.104008	0.741313	0.093750
Amp	 2	17675735	17675735	0.128973	0.089579	0.816130	0.078125
Amp	 2	17986683	17986683	-0.000000	0.049992	0.614610	0.078125
Amp	 2	20616425	20616425	-0.000000	0.026664	0.617096	0.062500
Amp	 2	21058264	26068391	-0.000000	0.000000	0.447431	0.062500
Amp	 2	26101063	27015054	-0.000000	0.027024	0.514953	0.078125
Amp	 2	27015663	28539877	-0.000000	0.000000	0.447431	0.062500
Amp	 2	29416439	30143192	-0.000000	0.026948	0.495122	0.078125
Amp	 2	34654129	41764905	-0.000000	0.000000	0.447431	0.062500
Amp	 2	43951922	44561532	-0.000000	0.018475	0.459462	0.078125
Amp	 2	46128458	47705535	-0.000000	0.042844	0.514821	0.093750
Amp	 2	47707923	50178151	-0.000000	0.024369	0.516268	0.078125
Amp	 2	51288438	58496276	-0.000000	0.049083	0.547246	0.093750
Amp	 2	60170875	66352795	-0.000000	0.024369	0.516268	0.078125
Amp	 2	67673930	86184486	-0.000000	0.000000	0.432853	0.062500
Amp	 2	95849288	99204005	-0.000000	0.027659	0.428257	0.078125
Amp	 2	99373720	111921759	-0.000000	0.047126	0.527353	0.078125
Amp	 2	119592977	120048729	-0.000000	0.027659	0.412671	0.078125
Amp	 2	125301502	133919427	-0.000000	0.010887	0.409119	0.062500
Amp	 2	134775344	141641929	-0.000000	0.000000	0.328825	0.046875
