chrom	start	end	type	gene	NCBI
17	37856492	37856564	Canonical	ERBB2	NM_004448:exon1
17	37863243	37863394	Canonical	ERBB2	NM_004448:exon2
17	37864574	37864787	Canonical	ERBB2	NM_004448:exon3
17	37865571	37865705	Canonical	ERBB2	NM_004448:exon4
17	37866066	37866134	Canonical	ERBB2	NM_004448:exon5
17	37866339	37866454	Canonical	ERBB2	NM_004448:exon6
17	37866593	37866734	Canonical	ERBB2	NM_004448:exon7
17	37868181	37868300	Canonical	ERBB2	NM_004448:exon8
17	37868575	37868701	Canonical	ERBB2	NM_004448:exon9
17	37871539	37871612	Canonical	ERBB2	NM_004448:exon10
17	37871699	37871789	Canonical	ERBB2	NM_004448:exon11
17	37871993	37872192	Canonical	ERBB2	NM_004448:exon12
17	37872554	37872686	Canonical	ERBB2	NM_004448:exon13
17	37872768	37872858	Canonical	ERBB2	NM_004448:exon14
17	37873573	37873733	Canonical	ERBB2	NM_004448:exon15
17	37876040	37876087	Canonical	ERBB2	NM_004448:exon16
17	37879572	37879710	Canonical	ERBB2	NM_004448:exon17
17	37879791	37879913	Canonical	ERBB2	NM_004448:exon18
17	37880165	37880263	Canonical	ERBB2	NM_004448:exon19
17	37880979	37881164	Canonical	ERBB2	NM_004448:exon20
17	37881302	37881457	Canonical	ERBB2	NM_004448:exon21
17	37881580	37881655	Canonical	ERBB2	NM_004448:exon22
17	37881960	37882106	Canonical	ERBB2	NM_004448:exon23
17	37882815	37882912	Canonical	ERBB2	NM_004448:exon24
17	37883068	37883256	Canonical	ERBB2	NM_004448:exon25
17	37883548	37883800	Canonical	ERBB2	NM_004448:exon26
17	37883942	37884297	Canonical	ERBB2	NM_004448:exon27
